,App,Category,Rating,Reviews,Size,Installs,Type,Price,Age_group,Genres,Last Updated,Current Ver,Android Ver
9657,EO Guide,HEALTH_AND_FITNESS,,15,24M,"1,000+",Paid,4.99,Everyone,Health & Fitness,23-Jul-18,1.0.4,4.1 and up
9669,Masha and the Bear- House Cleaning Games for Girls,FAMILY,,0,74M,100+,Paid,1.99,Everyone,Educational;Pretend Play,25-Jan-18,0.0.1,4.1 and up
9672,Masha and the Bear - Hair Salon and MakeUp Games,FAMILY,,1,83M,100+,Paid,2.49,Everyone,Role Playing;Education,5-Mar-18,1.0.1,4.1 and up
9678,Where's My Water?,FAMILY,4.7,188740,69M,"1,000,000+",Paid,1.99,Everyone,Puzzle;Brain Games,5-Jul-18,1.16.0,4.2 and up
9690,Out There Chronicles - Ep. 1,FAMILY,4.4,1516,44M,"50,000+",Paid,2.99,Everyone,Role Playing,27-Nov-17,1.0.4,4.2 and up
9700,EP McGuffey Primer,FAMILY,,0,Varies with device,50+,Paid,1.99,Everyone,Education,16-Jul-18,Varies with device,Varies with device
9717,The Great Wobo Escape Ep.1,FAMILY,4.3,11,20M,500+,Paid,1.99,KIDS,Action;Action & Adventure,3-May-16,1.0.3289,4.1 and up
9719,EP Cook Book,MEDICAL,,0,3.2M,0+,Paid,200.0,Everyone,Medical,26-Jul-15,1,3.0 and up
9728,Sonic 4™ Episode I,GAME,3.7,8014,37M,"100,000+",Paid,2.99,Everyone,Arcade,4-Apr-16,1.5.0,2.2 and up
9730,Lean EQ,BUSINESS,,6,10M,10+,Paid,89.99,Everyone,Business,14-Feb-17,1,4.1 and up
9785,ES File Explorer/Manager PRO,PRODUCTIVITY,4.7,81614,6.6M,"500,000+",Paid,2.99,Everyone,Productivity,11-Jul-18,Pro 1.1.4.1,4.0 and up
9828,Égalité et Réconciliation,NEWS_AND_MAGAZINES,4.9,58,3.8M,500+,Paid,2.99,Everyone,News & Magazines,26-May-18,1.1.1,5.0 and up
9869,YouCamp EU,TRAVEL_AND_LOCAL,3.4,39,32M,"1,000+",Paid,2.56,Everyone,Travel & Local,20-Jul-13,1.3.1,2.2 and up
9905,Eu sou Rico,FINANCE,,0,2.6M,0+,Paid,30.99,Everyone,Finance,9-Jan-18,1,4.0 and up
9910,EU RCD Guide,BOOKS_AND_REFERENCE,,0,45M,10+,Paid,3.61,Everyone,Books & Reference,29-Jun-16,2,4.0 and up
9917,Eu Sou Rico,FINANCE,,0,1.4M,0+,Paid,394.99,Everyone,Finance,11-Jul-18,1,4.0.3 and up
9920,IF YOU TO EU PEGO,FAMILY,,3,2.1M,100+,Paid,1.26,Everyone,Entertainment,12-Jan-12,3,2.1 and up
9932,Campervan.Guide Pro,TRAVEL_AND_LOCAL,4.2,238,67M,"10,000+",Paid,5.99,Everyone,Travel & Local,22-Jun-18,4.6.2,4.1 and up
9934,I'm Rich/Eu sou Rico/أنا غني/我很有錢,LIFESTYLE,,0,40M,0+,Paid,399.99,Everyone,Lifestyle,1-Dec-17,MONEY,4.1 and up
9941,Tasker,TOOLS,4.6,43045,Varies with device,"1,000,000+",Paid,2.99,Everyone,Tools,25-Jun-18,Varies with device,Varies with device
10036,ADWLauncher 1 EX,PERSONALIZATION,4.3,28728,2.8M,"500,000+",Paid,2.49,Everyone,Personalization,27-Jul-13,1.3.3.9,1.6 and up
10037,XE Currency Pro,TRAVEL_AND_LOCAL,4.4,1090,Varies with device,"10,000+",Paid,1.99,Everyone,Travel & Local,29-May-18,Varies with device,Varies with device
10041,Advanced EX for HYUNDAI,TOOLS,2.7,168,170k,"5,000+",Paid,4.99,Everyone,Tools,14-Mar-15,1.1,1.6 and up
10043,Remote EX for NISSAN,COMMUNICATION,2.3,223,1.0M,"5,000+",Paid,1.49,Everyone,Communication,26-Jul-14,1.3,3.0 and up
10046,Advanced EX for MITSUBISHI,TOOLS,2.9,33,141k,"1,000+",Paid,4.99,Everyone,Tools,21-Aug-15,1.1,1.6 and up
10047,Advanced EX for KIA,TOOLS,3.3,257,160k,"5,000+",Paid,4.99,Everyone,Tools,14-Mar-15,1.4,1.6 and up
10050,Advanced EX for NISSAN,TOOLS,2.9,164,144k,"5,000+",Paid,4.99,Everyone,Tools,14-Mar-15,1.3,1.6 and up
10051,Advanced EX for FIAT,TOOLS,3.5,138,141k,"5,000+",Paid,4.99,Everyone,Tools,5-Mar-15,1.6,1.6 and up
10052,Advanced EX for RENAULT,TOOLS,2.8,130,143k,"5,000+",Paid,4.99,Everyone,Tools,14-Mar-15,1.1,1.6 and up
10053,EX File Explorer File Manage Pro,PRODUCTIVITY,,1,6.3M,50+,Paid,1.99,Everyone,Productivity,6-Aug-17,1,4.0 and up
10072,ExDialer PRO Key,COMMUNICATION,4.5,5474,17k,"100,000+",Paid,3.99,Everyone,Communication,15-Jan-14,81,2.1 and up
10073,Volume Control Ex,TOOLS,4.2,5,2.5M,100+,Paid,1.49,Everyone,Tools,30-Jul-18,1.6.2,4.0 and up
10122,Organizer,PRODUCTIVITY,4.4,936,5.4M,"50,000+",Paid,2.99,Everyone,Productivity,17-Jun-18,2.96,4.0 and up
10270,Galaxian(FC),GAME,4.5,2,7.8M,100+,Paid,1.99,Everyone,Arcade,13-Nov-15,1,2.3 and up
10442,FiSwitch,TOOLS,4.8,615,2.0M,"10,000+",Paid,1.99,Everyone,Tools,24-Jul-18,5.2,5.0 and up
10446,Smart Wi-Fi Hotspot PRO,COMMUNICATION,3.7,197,957k,"10,000+",Paid,2.99,Everyone,Communication,10-Feb-16,1,2.2 and up
10450,Police Field Interview FI Card,PRODUCTIVITY,4.5,112,2.4M,"1,000+",Paid,7.99,Everyone,Productivity,16-Mar-17,3,4.0.3 and up
10453,"Talkie Pro - Wi-Fi Calling, Chats, File Sharing",COMMUNICATION,4.5,201,Varies with device,"1,000+",Paid,2.99,Everyone,Communication,6-Jan-18,Varies with device,Varies with device
10457,WiFi Monitor Pro - analyzer of Wi-Fi networks,TOOLS,4.6,85,2.4M,"1,000+",Paid,2.99,Everyone,Tools,5-Jul-18,1.9,4.0 and up
10459,SCI-FI UI,FAMILY,4.7,15,3.9M,100+,Paid,1.99,Everyone,Entertainment,16-Apr-18,0.0.53,1.6 and up
10460,Wi-Fi Rabbit Unlock Key,TOOLS,4.5,142,26k,"5,000+",Paid,1.0,Everyone,Tools,26-Jun-11,1.0.0,2.1 and up
10517,FJ Toolkit,TOOLS,,1,2.5M,100+,Paid,1.49,Everyone,Tools,21-Dec-15,14,4.0 and up
10531,Kernel Manager for Franco Kernel ✨,TOOLS,4.8,12700,10M,"100,000+",Paid,3.49,Everyone,Tools,3-Aug-18,3.2.5,5.0 and up
10540,Ray Financial Calculator Pro,FINANCE,4.0,67,2.4M,"10,000+",Paid,2.99,Everyone,Finance,3-Jul-17,4,3.2 and up
10570,FL SW Fishing Regulations,SPORTS,4.6,60,24M,"1,000+",Paid,1.99,Everyone,Sports,7-Mar-14,1.03,2.2 and up
10583,Florida Tides & Weather,WEATHER,3.8,30,2.0M,"1,000+",Paid,6.99,Everyone,Weather,6-May-15,2.0.0,2.3 and up
10594,FL Racing Manager 2018 Pro,SPORTS,4.3,340,15M,"5,000+",Paid,1.99,Everyone,Sports,17-Mar-18,1.18,3.0 and up
10645,Football Manager Mobile 2018,SPORTS,3.9,11460,Varies with device,"100,000+",Paid,8.99,Everyone,Sports,27-Jun-18,Varies with device,4.1 and up
10650,FN pistol Model 1906 explained,BOOKS_AND_REFERENCE,,1,5.3M,10+,Paid,5.49,Everyone,Books & Reference,9-Mar-17,Android 3.0 - 2017,1.6 and up
10651,FN pistol model 1903 explained,BOOKS_AND_REFERENCE,,1,19M,10+,Paid,6.49,Everyone,Books & Reference,5-Sep-15,Android 3.0 - 2015,1.6 and up
10661,"The FN ""Baby"" pistol explained",BOOKS_AND_REFERENCE,,1,8.8M,10+,Paid,5.99,Everyone,Books & Reference,6-Sep-15,Android 3.0 - 2015,1.6 and up
10662,FN FAL rifle explained,BOOKS_AND_REFERENCE,,1,7.3M,10+,Paid,6.49,Everyone,Books & Reference,6-Sep-15,Android 3.0 - 2015,1.6 and up
10664,The FN HP pistol explained,BOOKS_AND_REFERENCE,,1,8.5M,10+,Paid,6.49,Everyone,Books & Reference,6-Sep-15,Android 3.0 - 2015,1.6 and up
10668,FN model 1900 pistol explained,BOOKS_AND_REFERENCE,,0,8.2M,10+,Paid,6.49,Everyone,Books & Reference,5-Sep-15,Android 3.0 - 2015,1.6 and up
10669,Pistolet FN GP35 expliqué,BOOKS_AND_REFERENCE,,2,7.9M,5+,Paid,5.99,Everyone,Books & Reference,19-Aug-14,Android 2.0 - 2014,1.6 and up
10674,Pistolet FN 1906 expliqué,BOOKS_AND_REFERENCE,,0,5.2M,10+,Paid,5.49,Everyone,Books & Reference,17-Aug-14,Android 2.0 - 2014,1.6 and up
10679,Solitaire+,GAME,4.6,11235,Varies with device,"100,000+",Paid,2.99,Everyone,Card,30-Jul-18,Varies with device,Varies with device
10760,Fast Tract Diet,HEALTH_AND_FITNESS,4.4,35,2.4M,"1,000+",Paid,7.99,Everyone,Health & Fitness,8-Aug-18,1.9.3,4.2 and up
10785,"sugar, sugar",FAMILY,4.2,1405,9.5M,"10,000+",Paid,1.2,Everyone,Puzzle,5-Jun-18,2.7,2.3 and up
10798,Word Search Tab 1 FR,FAMILY,,0,1020k,50+,Paid,1.04,Everyone,Puzzle,6-Feb-12,1.1,3.0 and up
